organization_id,population,comment
211406665,1962,Created again on 2020-01-01 by splitting of 2 previously merged cities
211407127,3647,Created again on 2020-01-01 by splitting of 2 previously merged cities
200063782,1805,Merge status changed on 2021-01-01 and not yet reflected in populations file
200096634,22047,Created again on 2022-01-01 by splitting of 200071157
200096642,13536,Created again on 2022-01-01 by splitting of 200071157
200096675,15132,New SIREN for a part of splitting 200067221
200096683,27691,New SIREN for a part of splitting 200067221
